NAME,state_abbrev,name_simp,y2018_population,y2018_white_alone,y2018_black_alone,y2018_f_born,y2018_total_hh,y2018_married_hh,y2018_median_income,y2018_houses_for_sale,y2018_median_value,latitude,longitude,state,division,region,y2013_population,y2013_white_alone,y2013_black_alone,y2013_f_born,y2013_total_hh,y2013_married_hh,y2013_median_income,y2013_houses_for_sale,y2013_median_value,y2014_population,y2014_white_alone,y2014_black_alone,y2014_f_born,y2014_total_hh,y2014_married_hh,y2014_median_income,y2014_houses_for_sale,y2014_median_value,y2015_population,y2015_white_alone,y2015_black_alone,y2015_f_born,y2015_total_hh,y2015_married_hh,y2015_median_income,y2015_houses_for_sale,y2015_median_value,y2016_population,y2016_white_alone,y2016_black_alone,y2016_f_born,y2016_total_hh,y2016_married_hh,y2016_median_income,y2016_houses_for_sale,y2016_median_value,y2017_population,y2017_white_alone,y2017_black_alone,y2017_f_born,y2017_total_hh,y2017_married_hh,y2017_median_income,y2017_houses_for_sale,y2017_median_value
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",NY,New York,19990592,11643206,3416157,5761610,7196383,3343799,35423,62525,426100,40.71427,-74.00597,New York,Mid-Atlantic,Northeast,19716880,11833135,3392991,5564308,7078765,3263214,31762,69206,406700,19865045,11797761,3412320,5655928,7105003,3268278,31955,66739,400000,19979950,11783565,3421133,5720645,7121206,3277431,31887,65765,398800,20031443,11761690,3427574,5749079,7138559,3288406,32308,62474,403300,20192042,11768269,3455984,5825572,7168027,3322667,33594,62390,413200
"Los Angeles-Long Beach-Anaheim, CA Metro Area",CA,Los Angeles,13262234,7137761,878719,4412258,4338482,2049978,29620,21677,579500,34.05223,-118.24368,California,Pacific,West,12945252,7190204,883313,4400918,4225895,1985667,26010,30051,448000,13060534,7272008,883019,4420863,4244676,1988527,25999,28271,454200,13154457,7316316,882607,4436466,4272422,2005900,26101,25250,470300,13189366,7258206,882832,4425780,4298857,2023245,26651,22573,493900,13261538,7193319,882243,4433588,4320174,2039262,27683,21104,537000
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",IL,Chicago,9536428,6278469,1586538,1686996,3495713,1661213,32772,41434,231400,41.85003,-87.65005,Illinois,East North Central,Midwest,9488493,6314383,1625456,1669830,3429738,1650492,29904,55823,225000,9516448,6339010,1620641,1679627,3438560,1646724,30118,51791,217300,9534008,6340359,1613896,1693807,3448499,1648656,30321,49534,214400,9528396,6317574,1606204,1682220,3464942,1650560,30827,44191,216000,9549229,6303072,1599415,1689797,3481330,1657491,31675,42613,222600
"Dallas-Fort Worth-Arlington, TX Metro Area",TX,Dallas,7255028,5012939,1126696,1328417,2536055,1295468,32634,18480,193100,32.78306,-96.80667,Texas,West South Central,South,6575833,4538248,980654,1141778,2333532,1186240,29968,26156,150000,6703020,4658230,1005927,1170629,2370055,1198849,30161,23111,151900,6833420,4765303,1032978,1206720,2407330,1218106,30324,21456,156500,6957123,4850749,1063621,1238600,2451163,1242536,30721,18359,163900,7104415,4930563,1093212,1285060,2494426,1269299,31671,18662,174500
"Houston-The Woodlands-Sugar Land, TX Metro Area",TX,Houston,6779104,4426906,1169670,1583503,2310213,1181703,31766,21651,179100,29.76328,-95.36327,Texas,West South Central,South,6063540,3986513,1045873,1350399,2068518,1054336,28584,25763,141400,6204141,4069616,1069601,1394516,2112447,1071289,29144,23972,144000,6346653,4167710,1086282,1438555,2168642,1099504,29770,21234,149300,6482592,4258148,1114979,1485232,2223829,1127329,30263,20105,157400,6636208,4359111,1141697,1538097,2271561,1159994,31048,20713,166500
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",DC,Washington,6138382,3319114,1555778,1396380,2191338,1086743,46233,16874,411500,40.70365,-89.40731,District of Columbia,South Atlantic,South,5759330,3228757,1470979,1245847,2091301,1023000,42575,20002,373100,5863608,3278431,1490421,1285767,2112551,1030339,42627,18189,373300,5949403,3301039,1509842,1315848,2135657,1046714,42428,16443,378400,6011752,3312627,1527439,1340598,2155967,1059531,42735,16360,387400,6090196,3322625,1547874,1377353,2170034,1073498,44334,16655,397900
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",FL,Miami,6070944,4279818,1293936,2450422,2100355,925484,26396,26317,259300,25.77427,-80.19366,Florida,South Atlantic,South,5673185,4061742,1199613,2174308,2017496,889148,23923,39858,194300,5775204,4135885,1229061,2233014,2030848,890136,24020,34859,188700,5861000,4187164,1252870,2278836,2047042,895864,24093,30334,197900,5926955,4211497,1269852,2334395,2065161,907022,24698,27854,215700,6019790,4266292,1286415,2406913,2077708,913561,25457,26260,236500
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",PA,Philadelphia,6069448,4065435,1273284,653086,2264041,1044420,33643,24873,245000,39.95234,-75.16379,Pennsylvania,Mid-Atlantic,Northeast,5992766,4106566,1250223,586013,2226631,1035033,30783,27696,240200,6015336,4098723,1256908,597654,2229039,1029900,30853,26935,237600,6035680,4093540,1258405,609314,2230987,1029134,30998,26656,236600,6047721,4080796,1266040,622091,2235205,1029843,31347,25732,237700,6065644,4083283,1270826,638524,2253471,1036756,32270,25393,240700
"Atlanta-Sandy Springs-Roswell, GA Metro Area",GA,Atlanta,5779463,3122337,1961791,792208,2065239,995236,31834,23884,199200,33.749,-84.38798,Georgia,South Atlantic,South,5379176,3027755,1753777,720983,1917581,930976,28901,44967,170400,5455053,3057896,1794205,727285,1936823,933516,28753,40092,167400,5535837,3086318,1831421,743005,1964316,945617,29020,35125,168100,5612777,3095400,1878072,753516,1994730,959251,29991,28591,173300,5700990,3112830,1920782,777519,2029045,977583,30824,25523,184200
"Boston-Cambridge-Newton, MA-NH Metro Area",MA,Boston,4811732,3679379,392241,894766,1819113,874785,39019,10181,414700,42.35843,-71.05977,Massachusetts,New England,Northeast,4604278,3621435,349347,771081,1755666,837128,33981,12795,362400,4650876,3633194,357691,794041,1764845,841099,34481,11902,363600,4694565,3645403,367750,813764,1776440,848964,34711,10665,368900,4728844,3655168,376601,835760,1784448,852969,35773,10347,379200,4771936,3674413,384527,866821,1804136,869355,37070,10060,393500
