NAME,name_simp,state_abbrev,name_classic,state,region,latitude,longitude,median_income,median_value,median_age_male,median_age_female,population,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_speak_only_english,vehicles_per_hh,pct_poverty,pct_bachelors,year
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York,NY,"New York, NY",New York,Northeast,40.71427,-74.00597,31762,406700,36.1,39.3,19716880,0.600152508916218,0.17208559366390624,0.2822103699976873,0.4609863443693921,0.0035099873813706833,0.5798219089429971,0.6895404777528283,0.13680795338816285,0.14568172043447036,2013
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,CA,"Los Angeles, CA",California,West,34.05223,-118.24368,26010,448000,34.1,36.6,12945252,0.5554317521203913,0.06823451563553957,0.33996387246845405,0.4698808181462152,0.002321391657729027,0.4287341026655951,1.0780958826473446,0.16301521206385167,0.1340175533083481,2013
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago,IL,"Chicago, IL",Illinois,Midwest,41.85003,-87.65005,29904,225000,34.8,37.3,9488493,0.6654779636766345,0.17130813080644103,0.17598474278265264,0.48122976157362457,0.005883231404607665,0.6667053450953697,0.95753378246385,0.13552847643983085,0.14004468359727937,2013
"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas,TX,"Dallas, TX",Texas,South,32.78306,-96.80667,29968,150000,32.9,34.8,6575833,0.6901403974218931,0.14913000375769883,0.17363245082410092,0.5083452894582119,0.003977594929798248,0.6490353389448911,1.1423413092256716,0.14453377997890154,0.13445155921690835,2013
"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston,TX,"Houston, TX",Texas,South,29.76328,-95.36327,28584,141400,32.5,34.2,6063540,0.6574563703711034,0.1724855447477876,0.2227080220465273,0.5097059827373994,0.004248838137457657,0.5763382446557621,1.1416216827699832,0.1609292591456476,0.12070523159738371,2013
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington,DC,"Washington, DC",District of Columbia,South,38.9072,-77.0369,42575,373100,35.2,37.1,5759330,0.5606133005054408,0.2554080075286535,0.21631804393913875,0.48916918224588424,0.0034729734187830875,0.6855691547454305,1.0183732518657047,0.08024544521671792,0.1674885794007289,2013
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami,FL,"Miami, FL",Florida,South,25.77427,-80.19366,23923,194300,38.5,41.4,5673185,0.7159544418170746,0.21145317841741457,0.3832605494091943,0.44071859374194544,0.007025683103935444,0.46142563656922875,1.0342845785072188,0.16620945729779657,0.12744675169239147,2013
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia,PA,"Philadelphia, PA",Pennsylvania,Northeast,39.95234,-75.16379,30783,240200,36.5,39.7,5992766,0.6852538543971182,0.20862202862584656,0.09778673153598856,0.46484262547319244,0.004621572075398906,0.7980728765314714,0.9547338557668513,0.12590646789812918,0.13560549502516867,2013
"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta,GA,"Atlanta, GA",Georgia,South,33.749,-84.38798,28901,170400,34,36.3,5379176,0.5628659482418868,0.32603078984587974,0.13403223839487682,0.4854950064690879,0.008359458772124207,0.76744969861555,1.049921750371953,0.15052156687195214,0.14572306241699473,2013
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,MA,"Boston, MA",Massachusetts,Northeast,42.35843,-71.05977,33981,362400,37.2,39.9,4604278,0.7865369988519373,0.07587443677380036,0.16747055673006714,0.4768150661914054,0.002778937327415938,0.7286503986075559,0.9574144512680658,0.09895775189942918,0.1657834301056539,2013
"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix,AZ,"Phoenix, AZ",Arizona,West,33.44838,-112.07404,28299,170700,34.1,36.2,4268289,0.8049689231446137,0.05087682675657623,0.14438150743775785,0.4836589686478319,0.008387904380420351,0.6878191706325415,0.976720331366496,0.16270641467810637,0.1192006914245966,2013
"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco,CA,"San Francisco, CA",California,West,37.77493,-122.41942,36060,579300,37.5,39.4,4402729,0.5475335865550662,0.0812368873941594,0.2977253426227233,0.46834689202967444,0.0029359063435428347,0.5607876387576887,0.8476034079783765,0.10947891637209559,0.18919402034510868,2013
"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside,CA,"Riverside, CA",California,West,33.9806,-117.3755,24508,227300,31.9,34,4285443,0.6463173118858424,0.07426373422770995,0.2148809352965376,0.5337853325076553,0.005966244329932751,0.5512396268017099,1.0581046337167246,0.1705286944663597,0.07743820183817636,2013
"Detroit-Warren-Dearborn, MI Metro Area",Detroit,MI,"Detroit, MI",Michigan,Midwest,42.33143,-83.04575,26678,124400,38,40.6,4295700,0.7029955536932281,0.22623553786344483,0.08834648602090463,0.4617585085664252,0.0065949670600833395,0.8244048699862654,0.9545764645526503,0.16534813883651092,0.11494541052680587,2013
"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle,WA,"Seattle, WA",Washington,West,47.60621,-122.33207,34286,321500,36,37.8,3504628,0.7304715364940302,0.05553257007591105,0.16874972179643602,0.48509604205981116,0.004481502744371158,0.7306852538985593,0.9368155276682623,0.11261880005524125,0.166030174957228,2013
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis,MN,"Minneapolis, MN",Minnesota,Midwest,44.97997,-93.26384,33428,216500,35.4,37.3,3391191,0.8161796253882485,0.07283311379394437,0.09537150812207275,0.5060312818784646,0.004092367548746149,0.8086026413728982,1.0914958050698216,0.10396848776727705,0.16973918602638424,2013
"San Diego-Carlsbad, CA Metro Area",San Diego,CA,"San Diego, CA",California,West,32.71533,-117.15726,29851,402100,33.4,36.3,3138265,0.7141031748434247,0.05061490983075043,0.23375240777945777,0.49382851378052417,0.0036399093129483966,0.5848393937414463,1.0738255968742656,0.14072998934124428,0.1400904639984195,2013
"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa,FL,"Tampa, FL",Florida,South,27.94752,-82.45843,25528,146500,40.3,42.8,2819241,0.7991306880114186,0.119776563975907,0.12524470238620963,0.4487732744801126,0.008660841694626319,0.7649338953285654,0.9167203243440072,0.15111407644823555,0.12188883461896305,2013
