NAME,name_simp,state_abbrev,state,region,latitude,longitude,pct_pop_change,pop_change,population,median_age_male,median_age_female,median_income,median_value,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_only_english,vehicles_per_hh,pct_poverty,pct_bachelors
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York,NY,New York,Northeast,40.71427,-74.00597,0.013882115223098178,273712,19962658.666666668,36.416666666666664,39.550000000000004,32821.5,408016.6666666667,0.5893305360662047,0.17170379910651848,0.28617716183963204,0.9108681536041103,0.003248556939042321,0.5761538426344547,0.6980106472296508,0.13729384509504877,0.15191624609253784
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles,CA,California,West,34.05223,-118.24368,0.024486352216241136,316982,13145563.5,34.8,37.23333333333333,27010.666666666668,497150,0.5498409406336975,0.06714885215837267,0.3363602861147793,0.9128333115309091,0.0018881655396514572,0.4303092953502272,1.1143864249209723,0.16063282490704944,0.1406873632055915
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago,IL,Illinois,Midwest,41.85003,-87.65005,0.005051908664526601,47935,9525500.333333334,35.416666666666664,37.86666666666667,30936.166666666668,221116.66666666666,0.6630074654696178,0.1691079499201109,0.17675846668561696,0.914289479989722,0.00499336850232294,0.6658871217298437,0.9680368048568553,0.13282434403008261,0.14617596115073708
"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas,TX,Texas,South,32.78306,-96.80667,0.10328653419270228,679195,6904806.5,33.46666666666666,35.21666666666666,30913.166666666668,164983.33333333334,0.6941066342699104,0.15133429155473074,0.17792446464647488,0.9213782967910841,0.003046766528987211,0.6439421824010082,1.1670963719116885,0.13798489501479874,0.13919048033182874
"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston,TX,Texas,South,29.76328,-95.36327,0.11801093090834727,715564,6418706.333333333,32.983333333333334,34.6,30095.833333333332,156283.33333333334,0.6561032365867702,0.17137744630680773,0.22824697957049392,0.9229064378295748,0.0034648207149114525,0.5713036463889739,1.1567717277033205,0.15232568411111294,0.12665976461819747
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington,DC,District of Columbia,South,38.9072,-77.0369,0.0658152944873796,379052,5968778.5,35.483333333333334,37.416666666666664,43488.666666666664,386933.3333333333,0.5518324226640342,0.25394444887955997,0.22231776568689893,0.9169080166460706,0.002918603865095681,0.6769478880812884,1.0303641296840407,0.08123365051436683,0.17101282392480582
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami,FL,Florida,South,25.77427,-80.19366,0.07011211515224693,397759,5887846.333333333,38.949999999999996,41.88333333333333,24764.5,215400,0.711703300227661,0.21298749927746644,0.392839962591868,0.9085514494744545,0.005250420088522465,0.45034214264763145,1.081037491257119,0.1634839428270858,0.1341226126882048
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia,PA,Pennsylvania,Northeast,39.95234,-75.16379,0.012795760755550943,76682,6037765.833333333,36.733333333333334,39.949999999999996,31649,239633.33333333334,0.6770811057456545,0.20905160973588605,0.10231935957547211,0.9113353047545221,0.004341699792652332,0.7950989045478881,0.9680856414889564,0.12701897597607506,0.14299364872685386
"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta,GA,Georgia,South,33.749,-84.38798,0.07441418536965513,400287,5577216,34.583333333333336,36.81666666666666,29887.166666666668,177100,0.5529203100615074,0.33167799728992625,0.1349094841105909,0.9171458650319196,0.0059223693924232695,0.7680425741684261,1.0742224339240365,0.14466958066533553,0.15025211503373725
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,MA,Massachusetts,Northeast,42.35843,-71.05977,0.04505679283483752,207454,4710371.833333333,37.21666666666667,40.03333333333333,35839.166666666664,380383.3333333333,0.7752039108306772,0.07856573672474759,0.17607360862629706,0.9141926011952938,0.0023335029708022696,0.7210281806839666,0.9692172970096727,0.09844205151390915,0.17234456826851358
